"p","not_SPNE","gCC_satisfied?","gCC_how_determined?","gCC_required_non_negative","gCD_satisfied?","gCD_how_determined?","gCD_required_non_negative","gDC_satisfied?","gDC_how_determined?","gDC_required_non_negative","gDD_satisfied?","gDD_how_determined?","gDD_required_non_negative","bCC_satisfied?","bCC_how_determined?","bCC_required_non_negative","bCD_satisfied?","bCD_how_determined?","bCD_required_non_negative","bDC_satisfied?","bDC_how_determined?","bDC_required_non_negative","bDD_satisfied?","bDD_how_determined?","bDD_required_non_negative"
"_01111111","True","True","directly","c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)","False","directly","-(b2 - c)*d^2/(d^2 - 1) - c + (b2 - c)*d/(d^2 - 1)"
"_10000000","False","True","delta = 1","b1 - c","True","directly","c","True","directly","c","True","directly","c","True","delta = 1","b1 - c","True","directly","c","True","directly","c","True","directly","c"
"_10000001","False","","delta = 1","3*b1 - b2 - 3*c","True","directly","c","True","directly","c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","3*b1 - b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_10000010","True","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","directly","-c","True","directly","c","True","delta = 1","b1 - c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c"
"_10000011","True","True","delta = 1","3*b1 - b2 - 2*c","","delta = 1","-2*b1 + b2 + 2*c","False","directly","-c","","delta = 1","2*b1 - b2 - 2*c","True","delta = 1","3*b1 - b2 - 2*c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c"
"_10000100","True","True","delta = 1","b1 - c","False","directly","-c","False","delta = 1","-b1 + c","True","directly","c","True","delta = 1","b1 - c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c"
"_10000101","True","","delta = 1","3*b1 - 2*b2 - 3*c","False","directly","-c","","delta = 1","-2*b1 + b2 + 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","3*b1 - 2*b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c"
"_10000110","True","","delta = 1","b1 - b2 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","directly","c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c"
"_10000111","False","","delta = 1","b1 - b2 - c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","True","directly","c","True","directly","c","True","directly","c"
"_10001000","False","True","delta = 1","b1 - c","True","directly","c","True","directly","c","True","directly","c","True","delta = 1","b1 - c","True","directly","c","True","directly","c","True","directly","c"
"_10001001","False","","delta = 1","3*b1 - b2 - 3*c","True","directly","c","True","directly","c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","3*b1 - b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_10001010","True","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","directly","-c","True","directly","c","True","delta = 1","b1 - c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c"
"_10001011","True","True","delta = 1","3*b1 - b2 - 2*c","","delta = 1","-2*b1 + b2 + 2*c","False","directly","-c","","delta = 1","2*b1 - b2 - 2*c","True","delta = 1","3*b1 - b2 - 2*c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c"
"_10001100","True","True","delta = 1","b1 - c","False","directly","-c","False","delta = 1","-b1 + c","True","directly","c","True","delta = 1","b1 - c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c"
"_10001101","True","","delta = 1","3*b1 - 2*b2 - 3*c","False","directly","-c","","delta = 1","-2*b1 + b2 + 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","3*b1 - 2*b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c"
"_10001110","True","","delta = 1","b1 - b2 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","directly","c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c"
"_10001111","False","","delta = 1","b1 - b2 - c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","True","directly","c","True","directly","c","True","directly","c"
"_10010000","False","","delta = 1","b1 - 2*c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","","delta = 1","b1 - 2*c","True","directly","c","True","directly","c","","delta = 1","b1 - 2*c"
"_10010001","False","","delta = 1","b1 - 2*c","True","normalised","(b1 - b2)*d^2 + (b1 - c)*d + c","True","normalised","(b1 - b2)*d^2 + (b1 - c)*d + c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","b1 - 2*c","True","directly","(b2 - c)*d + c","True","directly","(b2 - c)*d + c","","delta = 1","b1 - 2*c"
"_10010010","True","True","delta = 1","3*b1 - 3*c","","delta = 1","-2*b1 + 3*c","False","normalised","-(b1 - c)*d^2 - (b1 - c)*d - c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","True","delta = 1","3*b1 - 3*c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","3*b1 - 3*c"
"_10010011","True","True","delta = 1","3*b1 - b2 - 2*c","","delta = 1","-2*b1 + b2 + 2*c","False","normalised","-(b1 - b2)*d^2 - (b1 - c)*d - c","","delta = 1","2*b1 - b2 - 2*c","True","delta = 1","3*b1 - b2 - 2*c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","3*b1 - b2 - 2*c"
"_10010100","True","","delta = 1","3*b1 - b2 - 4*c","False","normalised","-(b1 - c)*d^2 - (b1 - c)*d - c","","delta = 1","-2*b1 + 3*c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","","delta = 1","3*b1 - b2 - 4*c","True","directly","(b1 - c)*d^4/(d - 1) + c*d - (b1 - c)*d^2/(d - 1) + c","True","directly","(b1 - c)*d^4/(d - 1) + c*d - (b1 - c)*d^2/(d - 1) + c","","delta = 1","3*b1 - b2 - 4*c"
"_10010101","True","","delta = 1","3*b1 - 2*b2 - 3*c","False","normalised","-(b1 - b2)*d^2 - (b1 - c)*d - c","","delta = 1","-2*b1 + b2 + 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","3*b1 - 2*b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","","delta = 1","3*b1 - 2*b2 - 3*c"
"_10010110","False","","delta = 1","b1 - b2 - c","","delta = 1","2*b1 - 3*c","","delta = 1","2*b1 - 3*c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","","delta = 1","b1 - b2 - c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c","","delta = 1","b1 - b2 - c"
"_10010111","False","","delta = 1","b1 - b2 - c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","True","directly","c","True","directly","c","","delta = 1","b1 - b2 - c"
"_10011000","False","","delta = 1","b1 - 2*c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","","delta = 1","b1 - 2*c","True","directly","c","True","directly","c","","delta = 1","b1 - 2*c"
"_10011001","False","","delta = 1","b1 - 2*c","True","normalised","(b1 - b2)*d^2 + (b1 - c)*d + c","True","normalised","(b1 - b2)*d^2 + (b1 - c)*d + c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","b1 - 2*c","True","directly","(b2 - c)*d + c","True","directly","(b2 - c)*d + c","","delta = 1","b1 - 2*c"
"_10011010","True","True","delta = 1","3*b1 - 3*c","","delta = 1","-2*b1 + 3*c","False","normalised","-(b1 - c)*d^2 - (b1 - c)*d - c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","True","delta = 1","3*b1 - 3*c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","3*b1 - 3*c"
"_10011011","True","True","delta = 1","3*b1 - b2 - 2*c","","delta = 1","-2*b1 + b2 + 2*c","False","normalised","-(b1 - b2)*d^2 - (b1 - c)*d - c","","delta = 1","2*b1 - b2 - 2*c","True","delta = 1","3*b1 - b2 - 2*c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","3*b1 - b2 - 2*c"
"_10011100","True","","delta = 1","3*b1 - b2 - 4*c","False","normalised","-(b1 - c)*d^2 - (b1 - c)*d - c","","delta = 1","-2*b1 + 3*c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","","delta = 1","3*b1 - b2 - 4*c","True","directly","(b1 - c)*d^4/(d - 1) + c*d - (b1 - c)*d^2/(d - 1) + c","True","directly","(b1 - c)*d^4/(d - 1) + c*d - (b1 - c)*d^2/(d - 1) + c","","delta = 1","3*b1 - b2 - 4*c"
"_10011101","True","","delta = 1","3*b1 - 2*b2 - 3*c","False","normalised","-(b1 - b2)*d^2 - (b1 - c)*d - c","","delta = 1","-2*b1 + b2 + 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","3*b1 - 2*b2 - 3*c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + b2*d + c","","delta = 1","3*b1 - 2*b2 - 3*c"
"_10011110","False","","delta = 1","b1 - b2 - c","","delta = 1","2*b1 - 3*c","","delta = 1","2*b1 - 3*c","True","normalised","(b1 - c)*d^2 + (b1 - c)*d + c","","delta = 1","b1 - b2 - c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c","","delta = 1","b1 - b2 - c"
"_10011111","False","","delta = 1","b1 - b2 - c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","2*b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","True","directly","c","True","directly","c","","delta = 1","b1 - b2 - c"
"_10100000","True","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + 2*c","False","directly","-c","True","directly","c"
"_10100001","True","","delta = 1","3*b1 - b2 - 3*c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","4*b1 - b2 - 3*c","","delta = 1","3*b1 - b2 - 3*c","False","delta = 1","-b1 + c","False","normalised","-(b1 - b2)*d^3 - (b1 - c)*d^2 - (b2 - c)*d - c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_10100010","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","True","delta = 1","b2 - c","False","delta = 1","-2*b2 + 2*c"
"_10100011","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","2*b1 - 2*b2"
"_10100100","True","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_10100101","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2"
"_10100110","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c"
"_10100111","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","False","directly","-c","True","directly","c"
"_10101000","True","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + 2*c","False","directly","-c","True","directly","c"
"_10101001","True","","delta = 1","3*b1 - b2 - 3*c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","4*b1 - b2 - 3*c","","delta = 1","3*b1 - b2 - 3*c","False","delta = 1","-b1 + c","False","normalised","-(b1 - b2)*d^3 - (b1 - c)*d^2 - (b2 - c)*d - c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_10101010","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + 2*c","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","True","delta = 1","b2 - c","False","delta = 1","-2*b2 + 2*c"
"_10101011","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","2*b1 - 2*b2"
"_10101100","True","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_10101101","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2"
"_10101110","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c"
"_10101111","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","False","directly","-c","True","directly","c"
"_10110000","True","","delta = 1","b1 - 2*c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","","delta = 1","b1 - 2*c","False","delta = 1","-b1 + c","False","directly","-c","","delta = 1","b1 - 2*c"
"_10110001","True","","delta = 1","b1 - 2*c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","2*b1 - 2*c","","delta = 1","b1 - 2*c","False","delta = 1","-b1 + c","False","directly","-(b2 - c)*d - c","","delta = 1","b1 - 2*c"
"_10110010","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","b1 - c"
"_10110011","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","b1 - c"
"_10110100","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2"
"_10110101","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2"
"_10110110","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","b1 - b2","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","","delta = 1","b2 - 2*c","","delta = 1","b1 - b2 - c"
"_10110111","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","False","directly","-c","","delta = 1","b1 - b2 - c"
"_10111000","True","","delta = 1","b1 - 2*c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","","delta = 1","b1 - 2*c","False","delta = 1","-b1 + c","False","directly","-c","","delta = 1","b1 - 2*c"
"_10111001","True","","delta = 1","b1 - 2*c","True","delta = 1","b1 - c","True","delta = 1","b1 - c","True","delta = 1","2*b1 - 2*c","","delta = 1","b1 - 2*c","False","delta = 1","-b1 + c","False","directly","-(b2 - c)*d - c","","delta = 1","b1 - 2*c"
"_10111010","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","b1 - c"
"_10111011","True","True","delta = 1","b1 - c","False","delta = 1","-2*b1 + b2 + c","False","delta = 1","-b1 + c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 - c","False","delta = 1","-3*b1 + 3*c","False","delta = 1","-2*b1 + b2 + c","True","delta = 1","b1 - c"
"_10111100","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2"
"_10111101","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2"
"_10111110","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","b1 - b2","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","","delta = 1","b2 - 2*c","","delta = 1","b1 - b2 - c"
"_10111111","True","","delta = 1","b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","True","delta = 1","2*b1 - b2 - c","","delta = 1","b1 - b2 - c","False","delta = 1","-b1 + c","False","directly","-c","","delta = 1","b1 - b2 - c"
"_11000000","True","True","delta = 1","b1 - c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c","True","delta = 1","b1 - c","False","directly","-c","False","delta = 1","-2*b1 + 2*c","True","directly","c"
"_11000001","True","","delta = 1","3*b1 - b2 - 3*c","True","normalised","(b1 - b2)*d^4 + (b1 - c)*d^3 + (b2 - c)*d^2 + c*d + c","True","normalised","(b1 - b2)*d^4 + (b1 - c)*d^3 + (b2 - c)*d^2 + c*d + c","","delta = 1","3*b1 - b2 - 4*c","","delta = 1","3*b1 - b2 - 3*c","False","normalised","-(b1 - b2)*d^3 - (b1 - c)*d^2 - (b2 - c)*d - c","False","delta = 1","-b1 + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_11000010","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_11000011","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","2*b1 - 2*b2"
"_11000100","True","False","delta = 1","-2*b2 - 2*c","False","directly","(c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","delta = 1","-2*b2 - 2*c","False","directly","(c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_11000101","True","False","delta = 1","-2*b2 - 2*c","False","directly","-(b2 - c)*d^2 + (b1 - c)*d^3/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","False","delta = 1","-2*b2 - 2*c","False","delta = 1","-2*b2 - 2*c","False","directly","-(b2 - c)*d + (b1 - c)*d^2/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","True","directly","(b2 - c)*d - (b1 - c)*d^2/(d - 1) - (c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_11000110","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c"
"_11000111","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - c","False","directly","-c","False","delta = 1","-b1 + c","True","directly","c"
"_11001000","True","True","delta = 1","b1 - c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c","True","delta = 1","b1 - c","False","directly","-c","False","delta = 1","-2*b1 + 2*c","True","directly","c"
"_11001001","True","","delta = 1","3*b1 - b2 - 3*c","True","normalised","(b1 - b2)*d^4 + (b1 - c)*d^3 + (b2 - c)*d^2 + c*d + c","True","normalised","(b1 - b2)*d^4 + (b1 - c)*d^3 + (b2 - c)*d^2 + c*d + c","","delta = 1","3*b1 - b2 - 4*c","","delta = 1","3*b1 - b2 - 3*c","False","normalised","-(b1 - b2)*d^3 - (b1 - c)*d^2 - (b2 - c)*d - c","False","delta = 1","-b1 + c","True","normalised","(b1 - b2)*d^3 + (b1 - c)*d^2 + (b2 - c)*d + c"
"_11001010","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-2*b1 - 2*b2 + 4*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","b1 + b2 - 2*c","False","delta = 1","-7*b1 + b2 + 6*c","False","delta = 1","-2*b1 - 2*b2 + 4*c"
"_11001011","True","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-3*b1 + b2 + 2*c","True","delta = 1","2*b1 - 2*b2","True","delta = 1","2*b1 - 2*b2","False","delta = 1","-3*b1 + b2 + 2*c","False","delta = 1","-7*b1 + b2 + 6*c","True","delta = 1","2*b1 - 2*b2"
"_11001100","True","False","delta = 1","-2*b2 - 2*c","False","directly","(c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)","False","delta = 1","-2*b2 - 2*c","False","directly","(c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","True","directly","-(c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_11001101","True","False","delta = 1","-2*b2 - 2*c","False","directly","-(b2 - c)*d^2 + (b1 - c)*d^3/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-b1 + b2 + 2*c","False","delta = 1","-2*b2 - 2*c","False","delta = 1","-2*b2 - 2*c","False","directly","-(b2 - c)*d + (b1 - c)*d^2/(d - 1) + (c*d + c)/(d^2 - 1)","","delta = 1","-3*b1 + b2 + 4*c","True","directly","(b2 - c)*d - (b1 - c)*d^2/(d - 1) - (c*d + c)*d/(d^2 - 1) - (c*d + c)/(d^2 - 1)"
"_11001110","True","","delta = 1","b1 - b2 - c","","delta = 1","b1 - b2 - 2*c","","delta = 1","b1 - b2 - 2*c","False","delta = 1","-b1 + c","","delta = 1","b1 - b2 - c","True","delta = 1","b1 - c","False","delta = 1","-b1 + c","False","delta = 1","-b1 + c"
